job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source,posted_date,job_title_clean,company_name_clean,salary_min_lpa,salary_max_lpa,salary_avg_lpa,exp_min_years,exp_max_years,experience_level,primary_city,is_remote,is_hybrid,text_to_search,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_r,has_statistics,has_machine_learning,has_data_visualization,has_etl,has_pandas,has_numpy,has_scikit-learn,has_aws,has_azure,has_big_data,total_skills_mentioned,cleaned_at,days_since_scraped
Data Analyst - Python Programming,https://www.naukri.com/job-listings-data-analyst-python-programming-zorba-consulting-pune-4-to-6-years-121125919008,Leading Client,4-6 Yrs,Not Disclosed,Remote,"Data Analyst, Power BI, Data Visualization, Data Visualization Tools, SQL Server, Data Modeling, Tableau, Data Warehousing, Save",,data-analyst,pune,2025-12-04 12:14:30,Naukri,,Data Analyst,Leading Client,,,,4.0,6.0,Mid Level (3-5 years),Remote,True,False," data analyst, power bi, data visualization, data visualization tools, sql server, data modeling, tableau, data warehousing, save",False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,4,2025-12-09 20:13:03,5
Data Verification Analyst,https://www.naukri.com/job-listings-data-verification-analyst-foundation-ai-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-101224501433,Foundation Ai,0-5 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, Save",,data-analyst,pune,2025-12-04 12:14:30,Naukri,,Data Verification Analyst,Foundation Ai,,,,0.0,5.0,Fresher (0 years),Pune,False,False," metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, save",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
data governance analyst,https://www.naukri.com/job-listings-data-governance-analyst-sightspectrum-pune-chennai-bengaluru-6-to-11-years-191125014837,Sightspectrum,6-11 Yrs,22.5-32.5 Lacs PA,"Pune, Chennai, Bengaluru","Data Stewardship, Data Catalog, Data Governance, Data Quality Management, Governance, Data Governance Analyst, Data, Stewardship, Save",,data-analyst,pune,2025-12-04 12:14:31,Naukri,,data governance analyst,Sightspectrum,22.5,32.5,27.5,6.0,11.0,Senior Level (5+ years),Pune,False,False," data stewardship, data catalog, data governance, data quality management, governance, data governance analyst, data, stewardship, save",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025-12-09 20:13:03,5
Data Expert (Data Modeller + Data Analyst)- Immediate Joiners only,https://www.naukri.com/job-listings-data-expert-data-modeller-data-analyst-immediate-joiners-only-zetamicron-technologies-pune-chennai-7-to-12-years-251125027343,Zetamicron Technologies,7-12 Yrs,15-25 Lacs PA,"Pune, Chennai","Gcp Bigquery, Data Modeling, Erwin, SQL, Data Mapping, Agile Methodology, Data Analysis, GCP, Save",,data-analyst,pune,2025-12-04 12:14:31,Naukri,,Data Analyst,Zetamicron Technologies,15.0,25.0,20.0,7.0,12.0,Senior Level (5+ years),Pune,False,False," gcp bigquery, data modeling, erwin, sql, data mapping, agile methodology, data analysis, gcp, save",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst and Consultant,https://www.naukri.com/job-listings-data-analyst-and-consultant-edge-executive-search-pune-bengaluru-delhi-ncr-4-to-9-years-141125022996,Client of EDGE,4-9 Yrs,Not Disclosed,"Pune, Bengaluru, Delhi / NCR","Life Sciences, Consulting, Data Analytics, Business Consulting, Technical, Strategy Consulting, Analytics, SQL, Save",,data-analyst,pune,2025-12-04 12:14:32,Naukri,,Data Analyst,Client of EDGE,,,,4.0,9.0,Mid Level (3-5 years),Pune,False,False," life sciences, consulting, data analytics, business consulting, technical, strategy consulting, analytics, sql, save",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-kairos-technologies-pune-5-to-8-years-101125003393,Kairos Technologies,5-8 Yrs,13-15 Lacs PA,Hybrid - Pune,"Pyspark, Azure Datafactory, Azure Databricks, Data Analytics, Python, Data Modeling, Data analysis, Data, Save",,data-analyst,pune,2025-12-04 12:14:32,Naukri,,Data Analyst,Kairos Technologies,13.0,15.0,14.0,5.0,8.0,Mid Level (3-5 years),Pune,False,True," pyspark, azure datafactory, azure databricks, data analytics, python, data modeling, data analysis, data, save",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,2025-12-09 20:13:03,5
GRC Data Analyst,https://www.naukri.com/job-listings-grc-data-analyst-maerskglobalservicescentres-india-pvtltd-pune-6-to-8-years-071125916219,A.P. Moller Maersk,6-8 Yrs,Not Disclosed,Pune,"data science, data analysis tools, data analysis, data analytics, visualization tools, programming languages, risk mitigation, data analyst, Save",,data-analyst,pune,2025-12-04 12:14:33,Naukri,,Data Analyst,A.P. Moller Maersk,,,,6.0,8.0,Senior Level (5+ years),Pune,False,False," data science, data analysis tools, data analysis, data analytics, visualization tools, programming languages, risk mitigation, data analyst, save",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-reliance-games-pune-2-to-5-years-130921500438,Reliance Games,2-5 Yrs,Not Disclosed,Pune,"Communication Skills, R, Social Media, Analytical Skills, Data Analysis, Data Visualization, Data Analyst, Tableau, Save",,data-analyst,pune,2025-12-04 12:14:45,Naukri,,Data Analyst,Reliance Games,,,,2.0,5.0,Entry Level (0-2 years),Pune,False,False," communication skills, r, social media, analytical skills, data analysis, data visualization, data analyst, tableau, save",False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,2,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-awesome-analytics-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-290425501607,Awesome Analytics,1-4 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","excel, macros, data analysis, vba, mis, advanced excel, msbi, Save",,data-analyst,pune,2025-12-04 12:14:45,Naukri,,Data Analyst,Awesome Analytics,,,,1.0,4.0,Entry Level (0-2 years),Pune,False,False," excel, macros, data analysis, vba, mis, advanced excel, msbi, save",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Exciting Data Analysts,https://www.naukri.com/job-listings-exciting-data-analysts-digital-solution-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-3-years-010825502005,Digital Solution Tech,1-3 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","Procurement, Computer science, Construction, Excel, Analytical, power bi, Data quality, Data Analyst, Save",,data-analyst,pune,2025-12-04 12:14:46,Naukri,,Data Analyst,Digital Solution Tech,,,,1.0,3.0,Entry Level (0-2 years),Pune,False,False," procurement, computer science, construction, excel, analytical, power bi, data quality, data analyst, save",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2,2025-12-09 20:13:03,5
