job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source
Data Scientist / Data Analyst / BI,https://www.naukri.com/job-listings-data-scientist-data-analyst-bi-tecvesten-consulting-chennai-3-to-6-years-200325502637,Tecvesten Consulting,3-6 Yrs,Not Disclosed,Chennai,"Social media marketing, Typesetting, data science, Technology consulting, Data Analyst, Management, Business intelligence, Digital marketing, Save",N/A,data-analyst,chennai,2025-12-04 12:23:38,Naukri
Data Analyst Intern,https://www.naukri.com/job-listings-data-analyst-intern-arp-investments-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-300724502261,ARP Investments,No fixed duration,Unpaid,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",Save,N/A,data-analyst,chennai,2025-12-04 12:23:39,Naukri
Business Intelligence Data Analyst,https://www.naukri.com/job-listings-business-intelligence-data-analyst-alation-chennai-5-to-10-years-261125500611,Alation,5-10 Yrs,Not Disclosed,Chennai,"Data analysis, Automation, Business analytics, Analytical, Machine learning, Data Analyst, Business intelligence, SQL, Save",N/A,data-analyst,chennai,2025-12-04 12:23:40,Naukri
Business Data Analyst,https://www.naukri.com/job-listings-business-data-analyst-grid-dynamics-chennai-2-to-4-years-081124502451,Grid Dynamics,2-4 Yrs,Not Disclosed,Chennai,"Business process, Manager Quality Assurance, Business analysis, Project management, Analytical, Agile, Middleware, SDLC, Save",N/A,data-analyst,chennai,2025-12-04 12:23:40,Naukri
Data Engineer / Data Analyst - SQL / Python,https://www.naukri.com/job-listings-data-engineer-data-analyst-sql-python-jero-technologies-chennai-bengaluru-5-to-10-years-111125911586,Jero Technologies,5-10 Yrs,Not Disclosed,"Chennai, Bengaluru","Data Engineering, Transformation, Data Engineer, Data Warehouse, ETL, AWS, Python, SQL, Save",N/A,data-analyst,chennai,2025-12-04 12:23:41,Naukri
"Technical Data Analyst, Technical Business analyst",https://www.naukri.com/job-listings-technical-data-analyst-technical-business-analyst-fint-solutions-hyderabad-chennai-10-to-20-years-071125032884,Fint Solutions,10-20 Yrs,Not Disclosed,"Hybrid - Chennai, Hyderabad","Power Bi, Banking Sector, Snowflake, Data Warehousing, SQL, Business Analytics, SSRS, MSBI, Save",N/A,data-analyst,chennai,2025-12-04 12:23:42,Naukri
Senior Data Analyst,https://www.naukri.com/job-listings-senior-data-analyst-capco-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-121124502122,Capco,4-8 Yrs,Not Disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru","hive, python, data analysis, sql queries, modeling, scala, pyspark, business analysis, Save",N/A,data-analyst,chennai,2025-12-04 12:23:42,Naukri
Senior Data Analyst (French),https://www.naukri.com/job-listings-senior-data-analyst-french-fundinfo-ag-chennai-1-to-2-years-131025500805,FE Fundinfo,1-2 Yrs,Not Disclosed,Chennai,"Quality standards, French, Data management, Analytical, Senior Data Analyst, Production, Agile, Data collection, Save",N/A,data-analyst,chennai,2025-12-04 12:23:43,Naukri
Data Engineer Sr Data Analyst,https://www.naukri.com/job-listings-data-engineer-sr-data-analyst-softlogique-it-solutions-hyderabad-chennai-bengaluru-6-to-10-years-281125000076,Softlogique It Solutions,6-10 Yrs,Not Disclosed,"Chennai, Hyderabad, Bengaluru","Dbeaver, Snowflake, Data Mapping, Athena, snowflake console, SQL, SR, Console, Save",N/A,data-analyst,chennai,2025-12-04 12:23:44,Naukri
Data Reconciliation Analyst,https://www.naukri.com/job-listings-data-reconciliation-analyst-ideslabs-private-limited-chennai-5-to-10-years-141025502382,IDESLABS,5-10 Yrs,Not Disclosed,Chennai,"Financial reporting, data manipulation, Analytical, Capital market operations, Reconciliation, Reconciliation Analyst, Subject matter expertise, Financial services, Save",N/A,data-analyst,chennai,2025-12-04 12:23:45,Naukri
Technical Specialist - (Data Analyst) - HL7 / Mirth,https://www.naukri.com/job-listings-technical-specialist-data-analyst-hl7-mirth-citiustech-pune-chennai-bengaluru-8-to-13-years-261125025188,Citiustech,8-13 Yrs,10-20 Lacs PA,"Hybrid - Chennai, Pune, Bengaluru","HL7, Mirth, SQL, Data Anal, Data Analysis, Healthcare, Data Analytics, Data, Save",N/A,data-analyst,chennai,2025-12-04 12:23:45,Naukri
SAP Cloud Business Analyst / Tester / Data Analyst,https://www.naukri.com/job-listings-sap-cloud-business-analyst-tester-data-analyst-fort-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-020724500378,Fort Technologies,2-5 Yrs,Not Disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru","System testing, Data analysis, SAP, Testing tools, Business analysis, Regression testing, Scrum, Test cases, Save",N/A,data-analyst,chennai,2025-12-04 12:23:46,Naukri
Senior Data Analyst,https://www.naukri.com/job-listings-senior-data-analyst-capco-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-12-years-281123501746,Capco,8-12 Yrs,Not Disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru","Data analysis, Coding, Bfsi, Agile, Stakeholder management, JIRA, Project delivery, Financial services, Save",N/A,data-analyst,chennai,2025-12-04 12:23:47,Naukri
AI Engineer/Data Scientist(max 60 days notice period),https://www.naukri.com/job-listings-ai-engineer-data-scientist-max-60-days-notice-period-pwc-service-delivery-center-hyderabad-pune-bengaluru-2-to-7-years-081125000082,PwC Service Delivery Center,2-7 Yrs,Not Disclosed,"Pune, Hyderabad, Bengaluru","Data Science, Langgraph, Artificial Intelligence, LLM, Python, Pytorch, MLOPs, Langchain, Save",N/A,data-scientist,pune,2025-12-04 12:24:02,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-deutsche-bank-pune-4-to-13-years-011225504229,Deutsche Bank,4-13 Yrs,Not Disclosed,Pune,"Data analysis, data science, Infrastructure management, System integration, HTML, Monitoring, SQL, Python, Save",N/A,data-scientist,pune,2025-12-04 12:24:03,Naukri
Data Scientist - PAN India (less than 30 days joiners),https://www.naukri.com/job-listings-data-scientist-pan-india-less-than-30-days-joiners-capgemini-noida-pune-chennai-4-to-9-years-021225013748,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Pune, Noida, Chennai","Data Science, Pyspark, Machine Learning, Statistics, Python, Predictive Modeling, Natural Language Processing, Statistical Modeling, Save",N/A,data-scientist,pune,2025-12-04 12:24:03,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-maddisoft-solutions-hyderabad-pune-0-to-5-years-171025022506,Maddisoft Solutions,0-5 Yrs,Not Disclosed,"Pune, Hyderabad","Power Bi Reports, Regression, Data Visualization, Clustering, Python, Excel, Power Bi, Factoring, Save",N/A,data-scientist,pune,2025-12-04 12:24:04,Naukri
